Country,Mean_total_billions_high,SD_total_billions_high,Mean_perio_billions_high,SD_perio_billions_high,Mean_replace_billions_high,SD_replace_billions_high,Mean_total_billions_mid,SD_total_billions_mid,Mean_perio_billions_mid,SD_perio_billions_mid,Mean_replace_billions_mid,SD_replace_billions_mid,Mean_total_billions_low,SD_total_billions_low,Mean_perio_billions_low,SD_perio_billions_low,Mean_replace_billions_low,SD_replace_billions_low,Dent_exp_usd,Dent_exppc_usd,GDP_per_capita_PPP_2021,fits_high,fits_mid,fits_low,selected_Mean_total_billions,SD_total_billions,selected_model
Czechia,0.35675275166766834,0.12953792198560643,0.033642414214487,0.01582408147526293,0.0191560659551339,0.01372949199909185,0.09978895677962012,0.07248247393707058,0.00399819570397668,0.00373122860915671,0.00477583727779452,0.00550849888994227,0.00699335572550161,0.01666777695663326,2.501799366689117e-4,6.946924562510589e-4,8.620930106321333e-5,3.267881845790074e-4,0.8438,79.32,47796.03374,TRUE,TRUE,TRUE,0.35675275166766834,0.12953792198560643,high
Côte d'Ivoire,1.0707337537510446,0.6952896725453643,0.502488772676442,0.509041289553306,0.32620004135292763,0.3783220748187021,0.20383980218071793,0.204386805781526,0.05308654722175154,0.09322536892755542,0.07715980387153043,0.13129583348101426,0.009973096988074,0.02984379049699163,0.00385334431760467,0.01930750765129785,0.00109847032392536,0.00569596510350502,0.0066,0.25,6045.204805,FALSE,FALSE,FALSE,0.009973096988074,0.02984379049699163,low
Democratic Republic of the Congo,1.4001147778675005,1.4601367745760396,0.6936696002685615,1.0634249627097994,0.5006476605478315,0.7766487337246732,0.23391397633519137,0.3851010137735289,0.04975740900572371,0.1670121702588141,0.1244932484244582,0.2503668446588118,0.01122864275272867,0.066259097327963,0.00578911379016278,0.04244325423256093,0.00134807672174549,0.00887175228408436,0.0229,0.23,1313.618218,FALSE,FALSE,TRUE,0.01122864275272867,0.066259097327963,low
Denmark,0.8161337071767549,0.2334522107904594,0.3464688762958638,0.12713393396883135,0.18879145045329496,0.121159171664479,0.1710838127748288,0.1094853923405118,0.04320568431722842,0.0395331236319798,0.04886750931067086,0.05299483789471353,0.00944686695313508,0.0160833962305629,0.00271257512008367,0.00827717828140948,8.444999502337713e-4,0.00246937420316837,1.8676,321.67,69715.18097,TRUE,TRUE,TRUE,0.8161337071767549,0.2334522107904594,high
Djibouti,0.02896926645436516,0.01764249273652214,0.01194223283045235,0.01213902341727121,0.00706505103006562,0.00812040455008437,0.00585381589538721,0.00583291808561561,0.00117597784767756,0.00216010564959486,0.0018760993250689,0.00324135126098341,3.0137098650159186e-4,0.00106404927335482,8.729709818674529e-5,3.568634811244585e-4,2.7786019559634807e-5,1.507867121024441e-4,8e-4,0.76,5960.108074,FALSE,FALSE,TRUE,3.0137098650159186e-4,0.00106404927335482,low
Dominica,0.00219434448118699,8.982406219597799e-4,7.978944742788739e-4,5.737293007349613e-4,4.466380786677434e-4,4.096609495793145e-4,4.8753854438367614e-4,3.421809798723848e-4,8.89933322404158e-5,1.1265433045459904e-4,1.153890226801314e-4,1.6353583595689607e-4,2.920975245026155e-5,6.885000841951623e-5,5.57839524383845e-6,1.9801469434778117e-5,1.815638432707928e-6,6.704907681295414e-6,0.0019,26.92,15808.97435,FALSE,TRUE,TRUE,4.8753854438367614e-4,3.421809798723848e-4,mid
Dominican Republic,0.23313330801892132,0.10064682639080091,0.03025992093127594,0.01903649741071587,0.01766071341136464,0.01507860507583147,0.0647355505927466,0.05006408075115884,0.00352579035920176,0.00393255291393066,0.00456604171579457,0.0059651383016154904,0.00418511326919413,0.01021459442155791,2.318582189602349e-4,7.890107841963549e-4,7.064466306325073e-5,2.470857333304811e-4,0.0823,7.94,22053.45899,FALSE,FALSE,TRUE,0.00418511326919413,0.01021459442155791,low
Ecuador,0.8703500173033505,0.3965911233694861,0.3867365050897004,0.2892662786448253,0.22603523565730435,0.20779306888662555,0.174461006760965,0.14117485746800312,0.040691612058095,0.05593321270361203,0.06119781798154151,0.08557338521382442,0.00958701606171894,0.02105556099234857,0.00302156029275828,0.01065894309709556,9.79996816220723e-4,0.00431186728186238,0.1257,7.28,13507.44456,FALSE,FALSE,TRUE,0.00958701606171894,0.02105556099234857,low
Egypt,2.195368371791138,0.9261138472571117,0.48252803715299736,0.33366488631197944,0.28652057962011845,0.2635715001285539,0.5682083520966934,0.4303472391558196,0.053038723445084,0.06678557727518102,0.07467607263353979,0.1130661818434268,0.03765419616557085,0.09943012754747552,0.00387562670676593,0.01428824610275177,0.0011598438796035,0.00409198193226077,0.3293,3.32,15579.01609,FALSE,FALSE,TRUE,0.03765419616557085,0.09943012754747552,low
El Salvador,0.2651499761508013,0.13609446730074784,0.11811643465459408,0.09585737054594703,0.07083038137545744,0.07031919061470039,0.05434582720922369,0.04590859999610088,0.01260605597686499,0.01882325608628698,0.01840383005233017,0.02751606715269691,0.00274118314345222,0.00629100605356863,9.75000953794277e-4,0.00389657418687564,2.4612949112802566e-4,9.59804968557266e-4,0.0628,9.37,10809.7134,FALSE,FALSE,TRUE,0.00274118314345222,0.00629100605356863,low
Equatorial Guinea,0.06927894378714308,0.02883034260870551,0.0276359454845031,0.01845590617377933,0.01620997974577244,0.01439566432681145,0.01460229916508093,0.01061250939646554,0.00317308579693551,0.00377643081098401,0.00416864172695196,0.00567460117524281,7.884658309688128e-4,0.00168322618535323,2.166535213966221e-4,7.286005376232308e-4,6.921486987943838e-5,3.161305950695621e-4,0.0057,4.19,16821.44865,FALSE,FALSE,TRUE,7.884658309688128e-4,0.00168322618535323,low
Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024,0.39,NA,TRUE,TRUE,TRUE,0,0,high
