Country,Pop,Edent_prev,Edent_prev_sd,Perio_prev,Perio_prev_sd,Prophy,Prophy_sd,Consult_simple,Consult_perio,OPG,PA,RootDeb,OHI,Extraction,OFD,GTR,Single_implant,Implant_surgery,Full_fixed,Denture,Denture_repair,Maintenance_simp,Maintenance_perio,Consult_simple_sd,Consult_perio_sd,OPG_sd,PA_sd,RootDeb_sd,OHI_sd,Extraction_sd,OFD_sd,GTR_sd,Single_implant_sd,Implant_surgery_sd,Full_fixed_sd,Denture_sd,Denture_repair_sd,Maintenance_simp_sd,Maintenance_perio_sd
Colombia,49060425.69,0.057076219,0.006060395,0.121293889,0.016880109,21.69621296,3.900409092,15.67477694,37.84657792,25.62501268,5.846445793,42.81215514,10.20992882,24.13858666,101.7760602,239.6290061,865.7840572,1059.20884,4720.425433,175.9822282,28.28933925,28.15134452,52.46929755,28.01857619,59.64910101,43.87719456,8.680321244,57.63185143,16.81045317,42.91732288,217.8719641,272.1239305,778.2197439,1485.564024,6675.239019,413.3745352,44.24510561,21.36070664,46.13770247
Comoros,744374.1435,0.015925662,0.001820868,0.271429505,0.020654159,7.107378407,2.812291917,3.095964153,19.15275061,11.30004519,2.604037505,9.164563557,3.584414653,6.410328633,14.02975675,196.3853699,547.8499765,1051.059978,2025.938364,30.67705395,2.898636753,6.73368032,30.9684539,27.92150553,59.54848647,43.79687008,8.659513633,57.29376878,16.76558467,42.79147715,217.2647194,272.0059871,775.9877297,1485.563257,6656.54961,412.4971681,43.99436869,20.98897819,45.96544888
Congo,5391602.689,0.02493056,0.002980747,0.053533234,0.010402495,10.64850385,3.24507878,6.149200097,23.69027466,14.77712259,3.391062298,17.33179188,5.192615549,10.71348152,35.32828246,206.8818314,625.0216285,1053.037939,2679.967079,65.94675614,9.061683044,11.93235712,36.18732072,27.95638391,59.58461755,43.82571625,8.666987435,57.41533897,16.78170221,42.83668694,217.4828605,272.048324,776.7895592,1485.563533,6663.263452,412.8122783,44.08452468,21.12314777,46.02734654
Costa Rica,4747895.742,0.06266714,0.0068641,0.168840481,0.018591659,27.19025442,4.270871765,20.41185985,44.88652767,31.01968385,7.067511497,55.48357603,12.70504585,30.81491054,134.8206345,255.9142226,985.5155555,1062.277638,5735.148274,230.703025,37.85128003,36.21707003,60.56634778,28.05870772,59.69074999,43.91044116,8.688930145,57.7713865,16.8290134,42.96937035,218.1231351,272.172796,779.1429056,1485.564342,6682.969337,413.7376059,44.34860551,21.51288319,46.20890304
Croatia,4208639.425,0.106926586,0.012680408,0.13352968,0.016230602,37.28843401,5.570002793,29.11873154,57.82612368,40.93521848,9.311859465,78.77395068,17.29113061,43.08615349,195.5573525,285.8468401,1205.584913,1067.918162,7600.233125,331.2811582,55.42635587,51.04206641,75.44891977,28.22756596,59.86632658,44.05057484,8.725194437,58.3570053,16.90717413,43.18849068,219.1807311,272.3790729,783.0296914,1485.565685,6715.518653,415.2674614,44.7830785,22.14403895,46.50840223
Cuba,11269529.25,0.093107681,0.011313139,0.122100805,0.015610539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyprus,1357775.946,0.067941635,0.008076186,0.207068821,0.019536659,45.70320784,7.332755257,36.3741339,68.60863877,49.19779498,11.18206591,98.18172943,21.11269724,53.31173259,246.1690237,310.7895739,1388.967853,1072.618388,9154.401087,415.0925259,70.07159831,63.39567832,87.8505092,28.52550173,60.17741913,44.29878329,8.789340422,59.38457383,17.04533973,43.57559216,221.0497351,272.7456634,789.8971859,1485.568073,6773.038721,417.9753033,45.54578173,23.22453156,47.03651116
Czechia,10632383.17,0.110493326,0.012137351,0.013326147,0.002971661,45.02359055,7.169879046,35.78815298,67.7377914,48.53046988,11.03101911,96.61426461,20.80404928,52.48586603,242.0813836,308.7750797,1374.156972,1072.238776,9028.879067,408.3235199,68.88877865,62.39794168,86.84889766,28.49470435,60.14518524,44.27307017,8.782700293,59.2786838,17.0310426,43.53554961,220.8563643,272.7076138,789.1867379,1485.567825,6767.087681,417.6948951,45.46716597,23.11466664,46.98194024
Côte d'Ivoire,27861875.54,0.017529065,0.002213686,0.208782419,0.01984314,10.39340254,3.22069843,5.929246158,23.36339318,14.52663527,3.334365336,16.7434279,5.076761378,10.40348405,33.79394489,206.1256704,619.4622125,1052.895448,2632.851103,63.40594041,8.617699569,11.55784645,35.81135557,27.95428785,59.58244555,43.82398222,8.666538206,57.40803604,16.78073348,42.83396976,217.4697495,272.0457784,776.7413673,1485.563516,6662.859929,412.793337,44.07910867,21.11510403,46.02362689
Democratic Republic of the Congo,90017763.66,0.025647389,0.003072409,0.132070429,0.017711375,3.763006477,2.110862181,0.212373401,14.86734241,8.016162641,1.860741718,1.451126243,2.065569298,2.34626935,-6.085371223,186.4721172,474.9661687,1049.191918,1408.24907,-2.632978068,-2.921975745,1.823854609,26.03955998,27.87549525,59.50085918,43.75884333,8.649658886,57.13323522,16.74433011,42.73185139,216.9770375,271.9502086,774.9302507,1485.562895,6647.695429,412.0817204,43.87532765,20.8109227,45.88378653
