location_name,iso3,GDP_per_capita_PPP_2021,gdp_ppp_upper,gdp_ppp_lower
Switzerland,CHE,64198.136982046,75391.4685464906,58208.6145152868
United Kingdom,GBR,39692.1038980695,45461.4758054784,35038.568224158
Argentina,ARG,17984.9588039322,22119.3683946301,15846.5139668735
Chile,CHL,22795.7267892638,24216.663338427,21754.8203578442
Uruguay,URY,20678.9176928386,21544.1979442402,19402.9299976719
Canada,CAN,44359.0321023631,48993.6109786619,41796.4527608594
United States of America,USA,58751.8073144687,66125.674951423,54651.0311573932
Antigua and Barbuda,ATG,20689.6143727908,24247.1973993372,16579.9849617887
Bahamas,BHS,28557.3055534091,34382.8290932221,24686.7465616672
Barbados,BRB,13220.5464372559,15550.9245795284,9463.97093024592
Belize,BLZ,8307.65960232389,9903.99734193359,6203.91698040609
Cuba,CUB,7748.41473285261,8084.54112328566,7343.21381811171
Dominica,DMA,9048.47649516372,10427.6103283829,7724.64145651541
Dominican Republic,DOM,17228.2085612079,18442.0704863195,16297.9905330152
Grenada,GRD,12492.4774932864,14948.1259920439,10616.153634659
Guyana,GUY,20797.2806861257,24198.9389707384,17600.551263301
Haiti,HTI,2034.36477639887,2903.8029800002,1246.03525011857
Jamaica,JAM,7845.5945381664,8660.54255584145,6528.16384148604
Saint Lucia,LCA,11075.3507418217,13334.4526190221,8063.63494920694
Saint Vincent and the Grenadines,VCT,12022.204505985,13013.4494642464,11072.6990463129
Suriname,SUR,11391.9968620447,12615.7704810196,10218.2047307842
Trinidad and Tobago,TTO,24680.4234407534,26505.4392438915,23201.4672709904
Bolivia (Plurinational State of),BOL,6773.37648761019,8390.43968182311,5888.12329527051
Ecuador,ECU,9742.56301219152,10710.1820857572,9145.43532633537
Peru,PER,12062.1153230386,12275.1549305594,11854.3521388778
Colombia,COL,13503.9779773315,13741.3767358059,13225.2877472621
Costa Rica,CRI,16633.2731528844,20099.0094854635,14265.6617200043
El Salvador,SLV,8145.04067870934,9101.78522384083,7410.9751379134
Guatemala,GTM,7855.86325805556,8210.17918368247,7519.70780703319
Honduras,HND,4737.05696288102,5436.76797670673,4141.55358542289
Mexico,MEX,16932.0187167378,18644.6376780066,14926.1325631166
Nicaragua,NIC,5107.06421118468,5521.38950883788,4844.59174271744
Panama,PAN,22961.4243653277,28866.8972234555,19855.4134773204
Venezuela (Bolivarian Republic of),VEN,3310.08593389738,9519.22076136276,63.0191994356648
Brazil,BRA,14420.1983244871,15235.1326142168,13748.2767612211
Paraguay,PRY,11588.2361497781,13882.5045987949,8501.12967447659
Algeria,DZA,12503.8702057827,13804.0970388439,10177.6946645367
Bahrain,BHR,46823.8996179104,54824.4848975146,37267.7981719125
Egypt,EGY,11833.6169367336,13277.100872085,10436.8892432377
Iran (Islamic Republic of),IRN,17031.0964560073,19797.8056555916,13039.8771731888
Iraq,IRQ,11812.2360272761,14354.7550225762,9034.97639004317
Jordan,JOR,9271.04767313537,11856.9027075487,7352.63404102611
Kuwait,KWT,55136.3154563849,62053.9817919002,49123.5965377863
Lebanon,LBN,9033.46756496238,11681.111222266,6718.30325286337
Libya,LBY,16814.6477190482,21587.8018810989,10401.3213109815
Morocco,MAR,8172.37487801905,8652.50960721195,7399.83937008148
Palestine,PSE,4589.77326845481,5462.639641609,3967.07272288048
Oman,OMN,38673.3983293269,48145.8014787942,26908.5719678947
Qatar,QAT,128782.969511823,160058.587133896,102180.859788656
Saudi Arabia,SAU,54109.8023039741,67615.5185003435,44115.0214475423
Syrian Arab Republic,SYR,3192.22855926713,4318.56426596724,2186.87027012263
Tunisia,TUN,10324.7675622193,10757.5939383676,9696.76925789121
Türkiye,TUR,26693.2632078099,31219.9427142388,19992.4694665393
United Arab Emirates,ARE,76926.9957034399,86897.322113687,65406.6607162257
Yemen,YEM,1755.2750620058,2306.27998567421,1323.84991090098
Afghanistan,AFG,1435.87845849541,1845.92971927636,1089.5657583314
Bangladesh,BGD,4969.9936846605,5239.64833791227,4509.86007828207
Bhutan,BTN,9433.67118728253,11220.645888795,7839.13131076647
India,IND,6728.00464862926,7001.01029478665,6548.71796394433
Nepal,NPL,3012.58525408193,3183.51935971812,2716.02314545218
Pakistan,PAK,5088.43984291579,5690.33486559989,4707.39588954845
