measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
5,Prevalence,23,Kiribati,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,1727.5776684386346,2481.9846429532063,1188.902726127766
5,Prevalence,40,Turkmenistan,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,498871.3882053186,665196.7371811138,371763.4580067588
5,Prevalence,19,Timor-Leste,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,61249.604984270285,82017.77438356951,45002.63134392553
5,Prevalence,20,Viet Nam,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,7737647.004764401,10253345.422132846,5575959.751113877
5,Prevalence,49,North Macedonia,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,277591.086516268,355661.1042554828,206270.31922687253
5,Prevalence,50,Montenegro,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,78581.38889618158,99766.4266534433,59505.622937000175
5,Prevalence,48,Hungary,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,702307.4510080535,948708.9268884512,506776.786031433
5,Prevalence,39,Tajikistan,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,622468.2115643811,846846.4848649283,441108.78841128846
5,Prevalence,36,Kazakhstan,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,2066326.1616487063,2674206.9917936423,1538303.957211278
5,Prevalence,47,Czechia,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,1637567.385475599,2043346.0620436904,1267225.64066347
5,Prevalence,38,Mongolia,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,294869.21525133983,397811.3367930869,212748.50416070787
5,Prevalence,37,Kyrgyzstan,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,482441.5922511532,645597.4343281663,349760.2418739145
5,Prevalence,46,Croatia,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,788907.6308057742,953029.3473607928,641461.5097641471
5,Prevalence,43,Albania,3,Both,22,All ages,683,Periodontal diseases,1,Number,2021,320795.41722554143,411139.29215172434,243473.64617176453
