Country,Mean_total_billions_high,SD_total_billions_high,Mean_perio_billions_high,SD_perio_billions_high,Mean_replace_billions_high,SD_replace_billions_high,Mean_total_billions_mid,SD_total_billions_mid,Mean_perio_billions_mid,SD_perio_billions_mid,Mean_replace_billions_mid,SD_replace_billions_mid,Mean_total_billions_low,SD_total_billions_low,Mean_perio_billions_low,SD_perio_billions_low,Mean_replace_billions_low,SD_replace_billions_low,Dent_exp_usd,Dent_exppc_usd,GDP_per_capita_PPP_2021,selected_model,selected_Mean_total_billions,selected_SD_total_billions,selected_Mean_perio_billions,selected_SD_perio_billions,selected_Mean_replace_billions,selected_SD_replace_billions
Paraguay,0.3361409602963487,0.14297756489661834,0.13927153201758669,0.09804198386817951,0.07666393917640829,0.06931014671716647,0.07012024072886686,0.053580021859732443,0.01469033646809281,0.01860582436675512,0.02022939628202641,0.02863200321425199,0.00388972372930823,0.00861074503197809,9.516664129395888e-4,0.00363981818840259,2.958971759444133e-4,0.00115133941320669,0.0513,7.18,15406.16706,low,0.00388972372930823,0.00861074503197809,9.516664129395888e-4,0.00363981818840259,2.958971759444133e-4,0.00115133941320669
Peru,1.6247845423222846,0.714944225584104,0.6633282098785415,0.4706269719198124,0.396783276886887,0.35630531857735964,0.3344729515198823,0.25217692410722525,0.07247184504840015,0.09019945867765584,0.09665739404632516,0.13871584898966496,0.01845352753981456,0.03983114530913786,0.00477290419132317,0.01689584250868647,0.00154709366270553,0.00631950547636615,0.2678,8.24,15280.55121,low,0.01845352753981456,0.03983114530913786,0.00477290419132317,0.01689584250868647,0.00154709366270553,0.00631950547636615
Philippines,1.8517333829424787,1.01406526783596,0.48975846455522,0.4286979358600742,0.29654119125143247,0.3132439341301924,0.4485404136314458,0.4153578213524865,0.04819942515207214,0.07263557296212583,0.0733383299782703,0.11470533016101982,0.02785136796056812,0.09486994658002178,0.00300280429514096,0.01617924704742649,0.00111943058875635,0.00474622724927323,0.0165,0.15,8857.789951,low,0.02785136796056812,0.09486994658002178,0.00300280429514096,0.01617924704742649,0.00111943058875635,0.00474622724927323
Poland,3.3202818362278124,1.0849963750971143,1.4133980205893406,0.6424975958380964,0.7939755904920299,0.5656513796045357,0.666722057934708,0.4454699113498112,0.16181875884430766,0.1525461620653208,0.19487172989982995,0.2214162057071291,0.03742027146090471,0.0672465553886934,0.00953190757041388,0.02783828880063612,0.0034302192373251,0.01142879570749119,1.7024,44.83,41059.58478,mid,0.666722057934708,0.4454699113498112,0.16181875884430766,0.1525461620653208,0.19487172989982995,0.2214162057071291
Portugal,0.7452773103415887,0.24037650160756255,0.2961461620464187,0.14361645915161,0.16111191422629825,0.11377600879928268,0.1557512551871761,0.09825114688846028,0.03327806348210183,0.03123732875669145,0.04112042664685974,0.04730984607156582,0.00911786217559815,0.0167485739133958,0.00225560053097687,0.00717103246025255,7.292696500183199e-4,0.00253707755409646,0.8695,84.7,38657.66772,mid,0.1557512551871761,0.09825114688846028,0.03327806348210183,0.03123732875669145,0.04112042664685974,0.04730984607156582
Qatar,0.6707368023855497,0.1828219689453111,0.28419391546012485,0.09161743182199736,0.1498765260446528,0.08804259933202359,0.1368190997435692,0.08563740092165424,0.03318163205872117,0.02744580121237431,0.0372935101246477,0.03786707716438855,0.00800877019382029,0.01393634297892783,0.00208331567544142,0.00583787142431791,7.057860985567069e-4,0.00209539894832508,0.2287,83.07,116832.5703,mid,0.1368190997435692,0.08563740092165424,0.03318163205872117,0.02744580121237431,0.0372935101246477,0.03786707716438855
Republic of Ireland,0.5922498077568288,0.1583623401091107,0.17409991798855476,0.05879867389248253,0.09222596484945936,0.0553052850790012,0.13750496028730455,0.08059360372959393,0.02094644072240935,0.01797030141985608,0.02329656921393028,0.02420056931211637,0.00916259537686598,0.01742757007643395,0.00125596275770447,0.00362541378314724,4.3096771217615153e-4,0.00135754321857294,0.5148,104,116903.6124,mid,0.13750496028730455,0.08059360372959393,0.02094644072240935,0.01797030141985608,0.02329656921393028,0.02420056931211637
Republic of Korea,2.4608203593937414,0.5875334683723727,1.0778056152468756,0.22497457929793,0.8585821579854098,0.45483567761253085,0.5015571696028642,0.30909339323245505,0.1050661518962364,0.0829052574471303,0.2128605656517204,0.20347922159411383,0.02546760363987715,0.04327557859658013,0.00750199981446272,0.02168478002919662,0.00346341311967662,0.01078795313618817,7.2547,139.93,48419.64325,high,2.4608203593937414,0.5875334683723727,1.0778056152468756,0.22497457929793,0.8585821579854098,0.45483567761253085
Republic of Moldova,0.16623198941708411,0.07575425618420625,0.07144170090398391,0.05157681785938058,0.04255640026529384,0.04070682130267641,0.03310825897703323,0.02530225891271264,0.00765636610682448,0.00962981289144193,0.01053777268617095,0.01439982555848604,0.00185252703263658,0.0040940931823142,5.475730878768162e-4,0.00219829137215354,1.6815499025042195e-4,7.171368649740639e-4,0.0051,1.43,15682.07033,low,0.00185252703263658,0.0040940931823142,5.475730878768162e-4,0.00219829137215354,1.6815499025042195e-4,7.171368649740639e-4
Romania,1.3799237346863626,0.4395646421008893,0.5652008564882095,0.2674897552917099,0.3113655154487028,0.22716477343173672,0.2834423898823533,0.18411276818483904,0.06445887294160878,0.06261653153044598,0.07795415582947171,0.09092881027292636,0.01659975604768101,0.03058248120944218,0.00402308445608811,0.01218397641241534,0.00139877051231529,0.00501517074281864,0.3761,19.27,37730.37084,mid,0.2834423898823533,0.18411276818483904,0.06445887294160878,0.06261653153044598,0.07795415582947171,0.09092881027292636
