Location ID,Location Name,2023 SDI Index Value,SDI Quintile
4764,Paraíba,0.627992044,Low-middle SDI
4765,Paraná,0.700058628,High-middle SDI
4766,Pernambuco,0.637726766,Middle SDI
4767,Piaui,0.61512174,Low-middle SDI
4768,Rio de Janeiro,0.734857391,High SDI
4769,Rio Grande do Norte,0.64311453,Middle SDI
4770,Rondônia,0.645703382,Middle SDI
4771,Roraima,0.646897163,Middle SDI
4772,Rio Grande do Sul,0.714840839,High-middle SDI
4773,Santa Catarina,0.721788557,High SDI
4774,Sergipe,0.655304879,Middle SDI
4775,São Paulo,0.734764492,High SDI
4776,Tocantins,0.647033883,Middle SDI
4841,Andhra Pradesh,0.581306841,
4842,Arunachal Pradesh,0.595177974,
4843,Assam,0.614783703,
4844,Bihar,0.547180757,
4846,Chhattisgarh,0.576497476,
4849,Delhi,0.711704327,
4850,Goa,0.691400408,
4851,Gujarat,0.626744459,
4852,Haryana,0.63706188,
4853,Himachal Pradesh,0.650863859,
4854,Jammu & Kashmir and Ladakh,0.642305749,
4855,Jharkhand,0.577945605,
4856,Karnataka,0.613790895,
4857,Kerala,0.681106753,
4859,Madhya Pradesh,0.571881927,
4860,Maharashtra,0.651510285,
4861,Manipur,0.646031976,
4862,Meghalaya,0.610077494,
4863,Mizoram,0.648716071,
4864,Nagaland,0.662142945,
4865,Odisha,0.588393836,
4867,Punjab,0.653139166,
4868,Rajasthan,0.568825246,
4869,Sikkim,0.612818533,
4870,Tamil Nadu,0.65054964,
4871,Telangana,0.595908469,
4872,Tripura,0.606785089,
4873,Uttar Pradesh,0.595044195,
4874,Uttarakhand,0.659791705,
4875,West Bengal,0.600953428,
4910,Oslo,0.946605441,High SDI
4920,Rogaland,0.916304489,High SDI
4923,Møre og Romsdal,0.909883747,High SDI
4926,Nordland,0.896766162,High SDI
25318,Abia,0.634323666,Middle SDI
25319,Adamawa,0.474048113,Low SDI
25320,Akwa Ibom,0.59768483,Low-middle SDI
25321,Anambra,0.648219871,Middle SDI
25322,Bauchi,0.303466253,Low SDI
25323,Bayelsa,0.577058039,Low-middle SDI
25324,Benue,0.504116484,Low SDI
25325,Borno,0.416223173,Low SDI
25326,Cross River,0.578634085,Low-middle SDI
25327,Delta,0.613449817,Low-middle SDI
25328,Ebonyi,0.559919394,Low-middle SDI
25329,Edo,0.62585275,Low-middle SDI
25330,Ekiti,0.607186704,Low-middle SDI
25331,Enugu,0.625725945,Low-middle SDI
25332,FCT (Abuja),0.629397441,Low-middle SDI
25333,Gombe,0.391463834,Low SDI
25334,Imo,0.646271541,Middle SDI
25335,Jigawa,0.22429162,Low SDI
25336,Kaduna,0.450737601,Low SDI
25337,Kano,0.436349524,Low SDI
25338,Katsina,0.30852159,Low SDI
25339,Kebbi,0.300376217,Low SDI
25340,Kogi,0.56435454,Low-middle SDI
25341,Kwara,0.538665053,Low-middle SDI
25342,Lagos,0.695699557,High-middle SDI
25343,Nasarawa,0.512055879,Low SDI
25344,Niger,0.425756295,Low SDI
25345,Ogun,0.590440391,Low-middle SDI
25346,Ondo,0.594379092,Low-middle SDI
25347,Osun,0.619644036,Low-middle SDI
25348,Oyo,0.593583544,Low-middle SDI
25349,Plateau,0.536950802,Low-middle SDI
25350,Rivers,0.651734219,Middle SDI
25351,Sokoto,0.30437598,Low SDI
25352,Taraba,0.441293156,Low SDI
25353,Yobe,0.332523467,Low SDI
25354,Zamfara,0.322936317,Low SDI
35424,Hokkaid?,0.864601242,High SDI
35425,Aomori,0.84555257,High SDI
35426,Iwate,0.847002537,High SDI
35427,Miyagi,0.868068266,High SDI
35428,Akita,0.848987463,High SDI
35429,Yamagata,0.851023592,High SDI
35430,Fukushima,0.849682103,High SDI
35431,Ibaraki,0.863698581,High SDI
35432,Tochigi,0.862878859,High SDI
35433,Gunma,0.864109982,High SDI
35434,Saitama,0.880333614,High SDI
35435,Chiba,0.882765006,High SDI
35436,T?ky?,0.905915266,High SDI
35437,Kanagawa,0.894882056,High SDI
35438,Niigata,0.853942245,High SDI
35439,Toyama,0.86619454,High SDI
35440,Ishikawa,0.865823309,High SDI
35441,Fukui,0.859626425,High SDI
35442,Yamanashi,0.86514675,High SDI
35443,Nagano,0.865765129,High SDI
35444,Gifu,0.8642738,High SDI
35445,Shizuoka,0.866128072,High SDI
35446,Aichi,0.877866703,High SDI
35447,Mie,0.860848836,High SDI
35448,Shiga,0.87613819,High SDI
35449,Ky?to,0.884281153,High SDI
35450,?saka,0.880079161,High SDI
35451,Hy?go,0.882012504,High SDI
35452,Nara,0.880791476,High SDI
35453,Wakayama,0.855181851,High SDI
35454,Tottori,0.853866501,High SDI
35455,Shimane,0.85087868,High SDI
35456,Okayama,0.868052775,High SDI
35457,Hiroshima,0.874983655,High SDI
35458,Yamaguchi,0.859559197,High SDI
35459,Tokushima,0.859058571,High SDI
35460,Kagawa,0.865858064,High SDI
35461,Ehime,0.859318486,High SDI
35462,K?chi,0.853816643,High SDI
35463,Fukuoka,0.875065571,High SDI
35464,Saga,0.854566178,High SDI
35465,Nagasaki,0.853636954,High SDI
35466,Kumamoto,0.858145488,High SDI
35467,?ita,0.858176408,High SDI
35468,Miyazaki,0.844821209,High SDI
35469,Kagoshima,0.853210418,High SDI
35470,Okinawa,0.85445887,High SDI
35494,Piemonte,0.836496505,High SDI
35495,Valle d'Aosta,0.832292094,High SDI
35496,Liguria,0.847712746,High SDI
35497,Lombardia,0.856135438,High SDI
35498,Provincia autonoma di Bolzano,0.859324426,High SDI
35499,Provincia autonoma di Trento,0.853709599,High SDI
35500,Veneto,0.841368528,High SDI
35501,Friuli-Venezia Giulia,0.849788892,High SDI
35502,Emilia-Romagna,0.85017614,High SDI
35503,Toscana,0.841432096,High SDI
35504,Umbria,0.83362768,High SDI
35505,Marche,0.83312747,High SDI
35506,Lazio,0.853780238,High SDI
35507,Abruzzo,0.837643699,High SDI
35508,Molise,0.816863956,High SDI
35509,Campania,0.803933578,High SDI
35510,Puglia,0.800149211,High SDI
35511,Basilicata,0.813988586,High SDI
35512,Calabria,0.807737216,High SDI
35513,Sicilia,0.796988282,High SDI
35514,Sardegna,0.806876144,High SDI
35617,Baringo,0.474018075,Low-middle SDI
35618,Bomet,0.515630247,Low-middle SDI
35619,Bungoma,0.514051328,Low-middle SDI
35620,Busia,0.475240691,Low-middle SDI
35621,Elgeyo-Marakwet,0.506670532,Low-middle SDI
