LocationHeader,Region,Superregion,iso3c,selected_Mean_total_billions,selected_SD_total_billions,selected_Mean_perio_billions,selected_SD_perio_billions,selected_Mean_replace_billions,selected_SD_replace_billions,selected_model,Dent_exp_usd,Dent_exppc_usd,GDP_per_capita_PPP_2021,Country,Level
    Austria,Western Europe,High-income,AUT,1.1585116256579442,0.32870335222499353,0.4965663403452545,0.1847966696908963,0.2695963086156361,0.16729420073423523,high,2.1157,236.39,62968.94223,Austria,3
    Belgium,Western Europe,High-income,BEL,1.12520846001885,0.3146262888925632,0.433871367257055,0.16840684315148277,0.2347474423053341,0.14903598186245348,high,2.1221,185.2,60669.21377,Belgium,3
    Cyprus,Western Europe,High-income,CYP,0.00180518358156156,0.00345472275442615,5.400787340838149e-4,0.00173151742442812,1.6463380618837243e-4,6.18362932622709e-4,low,0.0126,14.41,48781.27734,Cyprus,3
    Denmark,Western Europe,High-income,DNK,0.8228153057352354,0.22863370958171617,0.35143164300167207,0.12604762938059078,0.19038506143631423,0.11608218299310076,high,1.8676,321.67,69715.18097,Denmark,3
    Finland,Western Europe,High-income,FIN,0.11927569846631632,0.07602970770592697,0.02702232738362449,0.02472911440118245,0.03180070743808699,0.0359721764546644,mid,0.5937,107.59,56790.37662,Finland,3
    France,Western Europe,High-income,FRA,4.609270584817725,1.1210989547073786,1.5749004286260593,0.3694491158369327,1.0780566983084443,0.5707721333038451,high,12.666,195.39,52517.33549,France,3
    Germany,Western Europe,High-income,DEU,12.250211293109343,2.6248219641755814,6.3619905224180515,1.738160954892623,2.010769673844538,1.0446914939495566,high,30.8773,372.15,62530.76532,Germany,3
    Greece,Western Europe,High-income,GRC,0.15739435385980735,0.10667204172648526,0.03646480244097237,0.03638944601941789,0.04571050104491853,0.05595584082672659,mid,0.8265,77.14,33531.15511,Greece,3
    Iceland,Western Europe,High-income,ISL,0.04746509430159769,0.01352730502888712,0.02063653007117088,0.0076790555374734,0.01117529835754043,0.00697902248867066,high,0.1455,407.54,61610.21327,Iceland,3
    Republic of Ireland,Western Europe,High-income,IRL,0.16435542969512051,0.09895808120399284,0.03353218791171206,0.02904437662888078,0.03752711357651867,0.03971256437464237,mid,0.5148,104,116903.6124,Republic of Ireland,3
    Israel,Western Europe,High-income,ISR,0.4296089873993285,0.13460210520146493,0.08957012585722932,0.04124767212616077,0.04930447892072897,0.0340511184901042,high,1.8272,201.81,46162.08227,Israel,3
    Italy,Western Europe,High-income,ITA,4.16261633002122,1.339825801379235,0.983100713056728,0.404708628507914,1.611486771171989,0.8195267491982945,high,19.123,316.82,49825.39341,Italy,3
    Luxembourg,Western Europe,High-income,LUX,0.10437670102841136,0.02731334861457093,0.0368625949204804,0.01225925504313436,0.01945883565927133,0.01131260155510504,high,0.212,345.35,136772.4438,Luxembourg,3
    Malta,Western Europe,High-income,MLT,0.00770407632829583,0.00469275594587914,0.00135353296812177,0.00127872984958592,0.00158582903795862,0.00179828240861775,mid,0.0444,91.64,56802.01025,Malta,3
    Monaco,Western Europe,High-income,MCO,0,0,0,0,0,0,high,NA,NA,NA,Monaco,3
    Netherlands,Western Europe,High-income,NLD,0.4541035472762251,0.2948889991457451,0.10995465815278802,0.09752058834123198,0.12722475368467173,0.14009594660586722,mid,3.6785,213.48,68573.56488,Netherlands,3
    Norway,Western Europe,High-income,NOR,0.7068151819465269,0.18910366998726877,0.2704243424943768,0.09382979847479074,0.14437463340005738,0.08726630647869106,high,2.1691,404.99,88984.13867,Norway,3
    Portugal,Western Europe,High-income,PRT,0.17713336185381512,0.11648693778599212,0.0404001663397212,0.03923855100874997,0.04900268484937501,0.05760349889707367,mid,0.8695,84.7,38657.66772,Portugal,3
    San Marino,Western Europe,High-income,SMR,0.00305703839731339,8.543780886233914e-4,0.00110712780467738,4.319704474778537e-4,5.992923739272572e-4,3.8370990339446447e-4,high,0.0075,222.24,64745.13168,San Marino,3
    Spain,Western Europe,High-income,ESP,1.3488133310643318,0.35595694475422923,0.29395688933093367,0.0805876125180109,0.19625002485694512,0.10660826198851264,high,8.3063,178.03,44251.66582,Spain,3
    Sweden,Western Europe,High-income,SWE,1.880986062355268,0.4448203672478024,0.631664688133331,0.14077670111313725,0.367976815511041,0.1864884687685296,high,3.3758,327.04,62731.70062,Sweden,3
    Switzerland,Western Europe,High-income,CHE,1.3863617666907728,0.3294918558022262,0.5991809527502576,0.14305402749869378,0.2217851242240163,0.11687499278495186,high,4.2189,493.73,81001.41112,Switzerland,3
    United Kingdom of Great Britain and Northern Ireland,Western Europe,High-income,GBR,2.940526198906172,1.1227428772632977,0.7527791380176649,0.3884301178888177,1.2384401685040571,0.7488800663752828,high,9.5769,143.22,51004.42717,United Kingdom of Great Britain and Northern Ireland,3
Latin America and Caribbean,NA,Latin America and Caribbean,NA,2.9272977191189025,1.2415883972616886,0.4494273168880036,0.3010237985582317,0.3316387689281547,0.24427362661140448,NA,NA,NA,NA,NA,1
  Andean Latin America,Andean Latin America,Latin America and Caribbean,NA,0.02834822256009523,0.043048967806390746,0.0072862428227365595,0.018820131778158635,0.002202798778249602,0.0063808759595767135,NA,NA,NA,NA,NA,2
    Bolivia,Andean Latin America,Latin America and Caribbean,BOL,0.004165061150534,0.01090079731936916,0.00120211849553005,0.00563700046165336,3.676439927177878e-4,0.00207875562211451,low,0.0482,4.17,9454.198147,Bolivia,3
    Ecuador,Andean Latin America,Latin America and Caribbean,ECU,0.00900648236702087,0.02120179677690285,0.00281328755532767,0.01138812108178538,8.372806328467632e-4,0.00393073429292632,low,0.1257,7.28,13507.44456,Ecuador,3
    Peru,Andean Latin America,Latin America and Caribbean,PER,0.01517667904254036,0.03584508418777411,0.00327083677187884,0.01388280534219117,9.978741526850512e-4,0.00457642666208521,low,0.2678,8.24,15280.55121,Peru,3
  Caribbean,Caribbean,Latin America and Caribbean,NA,0.07147651686394649,0.0284749533976153,0.013640087168454683,0.01095916868059366,0.01577133785175242,0.013756618235929332,NA,NA,NA,NA,NA,2
