Country,selected_Mean_total_billions,selected_SD_total_billions,selected_Mean_perio_billions,selected_SD_perio_billions,selected_Mean_replace_billions,selected_SD_replace_billions,selected_model,Dent_exp_usd,Dent_exppc_usd,GDP_per_capita_PPP_2021
Gambia,5.165668757125468e-4,0.0022966763206905,1.6514816466433336e-4,9.97308272256355e-4,6.26136981676966e-5,3.8407559495476866e-4,low,0,0.02,3503.034914
Georgia,0.00217746893828264,0.00467626277126736,4.050150722846635e-4,0.00165638865133807,1.3713560778771662e-4,5.479034042930499e-4,low,0.0116,3.13,18915.6534
Germany,14.187591979963091,2.9232201473470827,6.3413942905424285,1.7288907305410506,2.0256206076654744,1.0833425185151484,high,30.8773,372.15,62530.76532
Ghana,0.01077740946072433,0.03374364130036862,0.00268043628850095,0.01428332050053867,9.701109072918036e-4,0.00497076152002538,low,8e-4,0.03,6607.502974
Greece,0.17353372018348956,0.11106158345565904,0.03614677581822289,0.03768718004824565,0.045070255092331,0.05481794779083165,mid,0.8265,77.14,33531.15511
Grenada,8.398352857778692e-4,6.072299512068269e-4,1.2473727757068002e-4,1.5565913487473732e-4,1.796869635096413e-4,2.6673901701620685e-4,mid,0.0035,32.04,15298.12311
Guatemala,0.00705074017179282,0.0179347410626158,0.00136003645822861,0.00588233831902721,4.6609837798591765e-4,0.00223670895823533,low,0.1624,9.22,11825.14092
Guinea,0.00259339605056149,0.01261534346164725,6.643187004145429e-4,0.0045317727783982,2.2032595244039985e-4,0.00133667652976467,low,0.0032,0.23,3738.805126
Guinea-Bissau,3.179695480226567e-4,0.00169800784281761,9.3867237560291e-5,5.576693952658485e-4,2.553944458607386e-5,2.3937461960519337e-4,low,5e-4,0.25,2483.850629
Guyana,5.883329305562515e-4,0.00122503310892247,1.0152340967811196e-4,3.489260599010474e-4,3.185580365911025e-5,1.2580523663795442e-4,low,0.0113,14.38,22865.9271
Haiti,0.00275642333576313,0.01225428708684229,9.48074571161587e-4,0.00701228677257622,3.2233721717990987e-4,0.00213089904692232,low,0.0263,2.34,3134.950149
Honduras,0.00295956113244157,0.010206931210354,9.11914432123419e-4,0.00492234219164962,2.189392414836859e-4,0.00130440341271415,low,0.052,5.42,6202.980788
Hungary,0.1814943865218641,0.11408829088219448,0.03657034886834907,0.03546283890582171,0.04725206104995154,0.05714386560739422,mid,0.3639,37.29,38887.19095
Iceland,0.0532180239236105,0.01408738602124523,0.02084120231053753,0.0078169937989265,0.01107958946591822,0.00686970417170678,high,0.1455,407.54,61610.21327
India,0.5835713099295332,1.4864386815450945,0.15937682013578752,0.7183147854582763,0.05367235717396575,0.30098472188357284,low,0.0645,0.05,8050.018575
Indonesia,0.1516072157597148,0.3429338923558355,0.03533859521702932,0.16082249387354142,0.01124151560719323,0.04749420881127704,low,0.2666,1,12757.07464
Iran,0.8568040345738746,0.663279895035118,0.18215109684671044,0.24542595729606048,0.26956922946723116,0.3862489565427065,mid,3.5071,42.12,12731.75358
Iraq,0.02245547288002398,0.04935572578040677,0.00560953770913601,0.02513910569861548,0.00183638068899815,0.00868901404483879,low,1e-4,0.01,12731.75358
Israel,0.5835039521326382,0.1714891740020015,0.08983539905612543,0.0409534543233025,0.04941951876915373,0.0337967900702621,high,1.8272,201.81,46162.08227
Italy,4.680032928929917,1.466972669115567,0.9822594750348476,0.40610603597261513,1.6292733848197154,0.8278174432406815,high,19.123,316.82,49825.39341
Jamaica,0.02371510225466725,0.0204483208455345,0.00507792690470507,0.00778886118310585,0.00784459847697873,0.01223676170020851,mid,0.0449,15.62,9577.164211
Japan,8.094929364583619,1.595084236397006,2.4110137145430843,0.5623781575352724,1.7979660253553986,0.9062728110324486,high,28.7336,227.7,44355.34872
Jordan,0.00442790985078588,0.0120552763929546,8.97596922404641e-4,0.00447659987450117,2.934397670183362e-4,0.00156836248677939,low,0.0747,7.42,9182.496161
Kazakhstan,0.01541745975478105,0.03342889899935076,0.00130271060026189,0.00450456681824689,4.443612021256217e-4,0.00181649116094274,low,0.061,3.27,32945.85157
Kenya,0.01214846153525891,0.04327511051370527,0.00222740362012558,0.01266278565123277,6.397777604765275e-4,0.00415744581900722,low,1e-4,0.01,5338.852434
Kiribati,1.971253616441834e-5,1.14926821986204e-4,8.718947524489932e-6,5.334570300789984e-5,2.178496963896038e-6,1.3913287577718583e-5,low,3e-4,2.61,3020.493999
Kuwait,0.07056592638513805,0.04274645039138607,0.00535829212915023,0.00511752960129341,0.00653775732401198,0.00752053211512094,mid,0.2182,46.41,50651.95758
Kyrgyzstan,0.00199891061591873,0.00664947326391694,5.677064435422103e-4,0.00279528261714024,1.9032584070149464e-4,0.00111246616850379,low,0.0039,0.6,5736.478834
Lao People's Democratic Republic,0.00229893272483678,0.00693627875668308,4.3935197601031027e-4,0.00224497890466574,1.452579781320062e-4,6.595665336556499e-4,low,0.0045,0.63,8080.435532
Latvia,0.03394150742574286,0.02088833344547551,0.00662511609229166,0.00657389198612883,0.00840284086442328,0.00990232470540048,mid,0.112,58.08,36912.01306
Lebanon,0.04902113958387656,0.03945093449665185,0.01016948999381046,0.01440364448414219,0.01476788995527703,0.02254861880204399,mid,0.1049,17.29,11599.77551
Lesotho,4.0572063685703926e-4,0.00235439075753512,1.9600902046721156e-4,0.00157628416420861,7.518042882399265e-5,4.6591261922932626e-4,low,0.0093,4.56,2544.782496
Liberia,6.950836836108191e-4,0.00453981380804128,2.2549641012369073e-4,0.001845184238305,8.005510014000595e-5,5.997115669473177e-4,low,7e-4,0.16,1539.208923
Libya,0.00390324748128142,0.00887516259485831,0.00102348938699634,0.00444040071029882,3.6578422578918766e-4,0.00218789469935782,low,0.0615,9.34,12641.50977
Lithuania,0.05512002920935019,0.03283714243772973,0.01020552204037646,0.00957142263510373,0.01270875896716621,0.01472473012053478,mid,0.199,71.47,45873.52732
Luxembourg,0.12622931459029427,0.02960341325356521,0.03702343451851952,0.01198305497173417,0.0194692243807931,0.01120767489523393,high,0.212,345.35,136772.4438
Madagascar,0.00269849643309954,0.02343267616815177,0.00124847008989884,0.008370099146646,1.9395141891067228e-4,0.00268837817684753,low,0.0042,0.15,1577.432461
Malawi,0.0019419640278783,0.01502323275083023,6.663631188025032e-4,0.0050646875172659,1.7896341103136227e-4,0.00189550434167578,low,0.0025,0.12,1687.593582
Malaysia,0.02347005452165365,0.05328218639570097,0.00161469863102408,0.00563623513032501,5.064988375386412e-4,0.00264682997210109,low,0.2268,6.91,29822.84918
Maldives,3.827343571659498e-4,8.825448734819058e-4,9.868429495939112e-5,4.1433086807332944e-4,3.088064814450966e-5,2.1518164980375185e-4,low,6e-4,1.7,19052.62249
Mali,0.00408911379384788,0.02208380209201865,0.00131815266473773,0.0083417635048321,3.7789442319395897e-4,0.00346788231537225,low,0.0013,0.07,2796.227938
Malta,0.00904220288480487,0.00519002940784287,0.00132182176258315,0.00123777770788561,0.00160702159364958,0.00180744257750156,mid,0.0444,91.64,56802.01025
Marshall Islands,1.652948598217735e-5,5.36861570875359e-5,3.963222127221424e-6,2.180800032819835e-5,1.2795436437818815e-6,9.507198829467572e-6,low,3e-4,5.84,6705.875292
Mauritania,0.00132229538285304,0.00438430067514073,4.063591914683648e-4,0.00211275953345898,1.3502215008259918e-4,0.00118067838935452,low,0.0017,0.43,5836.565808
