Country,Level,selected_Mean_total_billions_mean,selected_Mean_total_billions_sd,selected_SD_total_billions_mean,selected_SD_total_billions_sd,selected_Mean_perio_billions_mean,selected_Mean_perio_billions_sd,selected_SD_perio_billions_mean,selected_SD_perio_billions_sd,selected_Mean_replace_billions_mean,selected_Mean_replace_billions_sd,selected_SD_replace_billions_mean,selected_SD_replace_billions_sd,Dent_exp_usd_mean,Dent_exp_usd_sd,Dent_exppc_usd_mean,Dent_exppc_usd_sd,GDP_per_capita_PPP_2021_mean,GDP_per_capita_PPP_2021_sd,Superregion,Region,selected_Mean_total_billions,selected_SD_total_billions,selected_Mean_perio_billions,selected_SD_perio_billions,selected_Mean_replace_billions,selected_SD_replace_billions,selected_model,Dent_exp_usd,Dent_exppc_usd,GDP_per_capita_PPP_2021,level
Belgium,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5376954121139406,0.43736266557937026,0.6686046191622775,0.25099050879816354,0.35781274153572806,0.2232579807589274,high,2.1221,185.2,60669.21377,Country
Cyprus,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00136617273111346,0.00245802587582692,2.816094726468514e-4,8.479327041561075e-4,8.760513819787324e-5,2.7622715087085523e-4,low,0.0126,14.41,48781.27734,Country
Denmark,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0543373549103954,0.2993782263507992,0.48835921448822145,0.17073498404407855,0.2610072929348626,0.15612269435577472,high,1.8676,321.67,69715.18097,Country
Finland,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13551346934599978,0.08636960457180591,0.03373616528887323,0.03035296604613577,0.03874877952169677,0.04168156181144517,mid,0.5937,107.59,56790.37662,Country
France,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.613631506874356,1.1171990088511221,1.5641828359428005,0.3609115624688894,1.0573833188693265,0.5590545657196695,high,12.666,195.39,52517.33549,Country
Germany,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.818866311517816,2.529169834080459,6.022833242395646,1.629444577225906,1.8931285791147108,1.0016696829167782,high,30.8773,372.15,62530.76532,Country
Greece,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14311218197790618,0.09422080989067644,0.0315814963060272,0.03168624730565083,0.03860772853620957,0.04583992820772981,mid,0.8265,77.14,33531.15511,Country
Iceland,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03347540049856484,0.00914116744837202,0.0122425954957271,0.00470996796780599,0.00661905414861188,0.00428643587101221,high,0.1455,407.54,61610.21327,Country
Israel,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6864244400858847,0.2007345922276136,0.23079370803201393,0.10161416785285604,0.1262480095123407,0.08658066833288318,high,1.8272,201.81,46162.08227,Country
Italy,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.11245720945313,1.3055397644785764,0.9756806657288744,0.4099200572708357,1.576311163315437,0.8039433300098805,high,19.123,316.82,49825.39341,Country
Luxembourg,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11565692157819894,0.02988492522427562,0.04312895322491617,0.0139554427187333,0.02301417051561791,0.01339548551471477,high,0.212,345.35,136772.4438,Country
Malta,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00894391501082998,0.00542630118797103,0.00190649186665554,0.00173773685687424,0.0021892155844864,0.00236102174556221,mid,0.0444,91.64,56802.01025,Country
Monaco,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,high,NA,NA,NA,Country
Netherlands,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3752715137091276,0.22555035946613727,0.07835565847864881,0.07096010521962452,0.0895230207947036,0.09368303174769028,mid,3.6785,213.48,68573.56488,Country
Norway,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9797951224358572,0.26409359228651186,0.42436245675159817,0.13975069121928216,0.22624513713209143,0.1326510155471364,high,2.1691,404.99,88984.13867,Country
Portugal,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15770999010983022,0.0980767993611796,0.03390428001163561,0.03284051513470259,0.04099011726766147,0.04636832776031267,mid,0.8695,84.7,38657.66772,Country
San Marino,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00377350334470515,0.00104239414361753,0.00150405442277698,5.705928254586404e-4,8.096721329704013e-4,5.069919009503202e-4,high,0.0075,222.24,64745.13168,Country
Spain,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3544733281017345,0.3564038993990505,0.2901389432112161,0.07905030916606948,0.1921760047320175,0.10368032492486558,high,8.3063,178.03,44251.66582,Country
Sweden,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.126505981444702,0.49558886927828794,0.7576881845791688,0.15719997601532645,0.4361259417863392,0.22041858750018,high,3.3758,327.04,62731.70062,Country
Switzerland,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.393068818697557,0.3253102216137608,0.5969716428466152,0.1434816589597785,0.21877265857433756,0.11567508109968068,high,4.2189,493.73,81001.41112,Country
Ecuador,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00753843025676681,0.01614608263108157,0.00183534540659793,0.00733629542708573,5.692553576142829e-4,0.00253556319291772,low,0.1257,7.28,13507.44456,Country
Peru,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01776519980268011,0.04138715484529561,0.004337120041184,0.016679916422029432,0.0012721623324613,0.00496599901206348,low,0.2678,8.24,15280.55121,Country
