Country,Pop,Edent_prev,Edent_prev_sd,Perio_prev,Perio_prev_sd,Prophy,Prophy_sd,Consult_simple,Consult_perio,OPG,PA,RootDeb,OHI,Extraction,OFD,GTR,Single_implant,Implant_surgery,Full_fixed,Denture,Denture_repair,Maintenance_simp,Maintenance_perio,Consult_simple_sd,Consult_perio_sd,OPG_sd,PA_sd,RootDeb_sd,OHI_sd,Extraction_sd,OFD_sd,GTR_sd,Single_implant_sd,Implant_surgery_sd,Full_fixed_sd,Denture_sd,Denture_repair_sd,Maintenance_simp_sd,Maintenance_perio_sd
Republic of Ireland,4941374.274,0.084711491,0.010153224,0.133072025,0.016549596,87.6518074798725,21.85027856999608,72.54313557919052,122.36069652524854,90.38767370374124,20.505256643259273,194.93170235268664,40.16363925194962,104.28740137286364,498.47393111272766,435.13192448613125,2303.1525617142815,1096.049549584898,16902.104227036332,832.9016770156542,143.07978890618912,124.97983143432522,149.67383570665518,33.59565993568281,65.70351320336503,48.691483539001005,9.90858196415014,76.0275909185683,19.44030345656689,50.24397428538365,253.35619161580084,279.4863571310225,908.3779610104172,1485.6125615561184,7766.997751453462,465.5446897293534,57.94589832965551,38.11161147551954,55.9701324480182
Republic of Korea,51570479.89,0.0352,0.00425,0.1402,0.01755,33.46378095,2.385773376,14.74602308,24.10849733,11.10288114,3.477731252,35.9763095,1.57e-5,4.239639338,87.8908782,118.4412078,1113.473926,531.993769,11629.60314,75.01653609,58.89153732,11.28033057,52.61487138,1.051325748,1.965849918,1.123683463,0.351725468,2.56530561,3.46e-6,0.303109485,6.268242402,8.447206909,90.92919121,43.44382461,949.7073319,6.126832348,4.199713948,0.805957159,3.981310954
Republic of Moldova,3593444.205,0.086999053,0.009006166,0.070469526,0.015358277,20.16999029134572,3.821720653556671,14.358834313613736,35.89090812783961,24.126394670363972,5.507238639689342,39.29208525965837,9.516795321159249,22.283930672319023,92.59640999247348,235.1050382459914,832.5231274179441,1058.3563402973368,4438.539498775603,160.78101043440506,25.633070470062297,25.91071834189109,50.21996947983381,28.01051363546136,59.64073728379051,43.87051791044034,8.678592145792013,57.60380174971978,16.806725090935924,42.90686775478722,217.82151151086808,272.1141206523263,778.0343051060695,1485.5639605881086,6673.686228573058,413.301617417555,44.224300831433425,21.33002931725091,46.12339709789267
Romania,18938555.15,0.096269242,0.01126439,0.056703841,0.008322427,37.8747230071982,5.673716050268353,29.62424276116244,58.57738213454039,41.510903321324264,9.442163795585932,80.12616376307763,17.557393559099715,43.79860812193911,199.08365835348263,287.5846943135227,1218.36189322268,1068.2456441638074,7708.517863230493,337.1206119803575,56.44674509972448,51.90278910664104,76.3129852352452,28.24291781548518,59.882315862590545,44.06333469507715,8.728494720398388,58.41012925149769,16.914285449286652,43.20842204261911,219.2769438975832,272.39788027697153,783.3832577878121,1485.5658072437586,6718.4797321231235,415.406724035472,44.822498570358945,22.200715711221665,46.53562457760349
Russian Federation,144853838.8,0.112589896,0.011577099,0.151701683,0.014771319,38.53670729717703,5.794460158328876,30.19502011965592,59.42563495080585,42.16091435513289,9.589291610348916,81.65295995361387,17.858033495379704,44.60304717810504,203.0652426354608,289.5469214997649,1232.7884991210483,1068.615407656061,7830.783154696973,343.71399284625596,57.598875936644234,52.874638994828075,77.28860948134219,28.26113657495507,59.90129682163396,44.07848161749048,8.732412028359683,58.47314871353708,16.922725912534386,43.23207764250083,219.39113722573572,272.42021147357843,783.8028937404794,1485.5659526526915,6721.994176966826,415.572031073828,44.86926303710526,22.26782928992258,46.5679291391139
Rwanda,13270032.61,0.011,0.00135,0.0748,0.01295,1.889878258,1.619018119,1.611736942,2.74269852,0.805868471,0.402934236,4.953825879,1.611736942,3.280584835,5.127355308,5.127355308,31.57384432,10.254710620000001,426.3826742,64.6177465,9.231106643,3.5016152,3.023310983,1.380740427,2.349610925,0.690370214,0.345185107,4.24383625,1.380740427,2.81040658,4.392495186,4.392495186,27.0486344,8.784990371,365.2728807,55.3566358,7.908090829,2.999758547,2.590005595
Saint Kitts and Nevis,58645.29054,0.054866598,0.007179845,0.030614165,0.005174685,29.641202161991835,4.503219638547391,22.525120696984487,48.027120821012886,33.426301499959806,7.612241321444729,61.1364257111916,13.8181429156412,33.793286488321385,149.56215508085782,263.17922323886523,1038.9289940014717,1063.646659765909,6187.8264492897215,255.11452872195372,42.116959022041,39.815272176208616,64.1785242081032,28.08570204270119,59.71878218467411,43.93281695998942,8.694723017818507,57.86516698634802,16.84150129205664,43.00438629952858,218.2921236616347,272.205699548206,779.7639943522319,1485.5645563566904,6688.1702962552,413.9819369037988,44.418171770672544,21.61476300039556,46.25679140643881
Saint Lucia,177512.3969,0.067822584,0.008456662,0.045753308,0.008357115,23.199295990127,3.985517614013,16.97076805735094,39.77259705795363,27.100909562628516,6.180510097120741,46.27885589890855,10.892553456270466,25.96512349525383,110.81653415276134,244.0843842630657,898.5407053628786,1060.0484146731817,4998.037586282187,190.95297453334192,30.905335330206125,30.357999718823876,54.684522692517056,28.02747882875328,59.658337639715235,43.88456793450925,8.682230685930378,57.6628173034854,16.814569980050543,42.92886792636719,217.9276769463924,272.1347653693431,778.4245152967715,1485.5640948753014,6676.953703005796,413.4550602199489,44.26807376554409,21.39453954798198,46.15349804096655
Saint Vincent and the Grenadines,114075.2638,0.062878828,0.007676496,0.154802076,0.020803893,20.639831842848334,3.8453286037315504,14.76394199326232,36.49295325986739,24.58773823582567,5.611662206538094,40.37572470828149,9.730173699232164,22.854879107138196,95.422328620456085,236.4977236609491,842.7623717637925,1058.6187789314847,4525.316957254817,165.46064459276312,26.450792201751263,26.60048615995825,50.91241613817435,28.01291553563485,59.64322877705373,43.87250684284304,8.679107242262196,57.6121585622309,16.80783568939797,42.90998237353183,217.8365414508953,272.1170428281123,778.0895478629103,1485.5639795952968,6674.148808423777,413.3233393761312,44.230499142445346,21.339172029077695,46.1276588186621
Samoa,213639.8551,0.021994285,0.002651708,0.153757504,0.018050033,10.591158829825272,3.239672109699627,6.099755961111262,23.616793943004943,14.720814756706703,3.3783172102072783,17.199531695123255,5.166572326712782,10.64379622090421,34.98337390648574,206.71185159373888,623.7719099733905,1053.0059079282637,2669.375731175426,65.37559820313558,8.961878607144037,11.848169689658324,36.102806331694815,27.955917730610075,59.58413447721352,43.82533058548352,8.6668875218667,57.413714775121186,16.781486757896772,42.83608261704708,217.4799445024871,272.0477578568024,776.7788408824943,1485.5635289885604,6663.173704723687,412.8080655228461,44.08332014340913,21.121358993672303,46.02651926094768
San Marino,32740.07406,0.092032618,0.011346156,0.116549513,0.018841742,56.32210243356166,10.263260429800496,45.52997747345209,82.21546809520667,59.62462649196637,13.542144209307285,122.67307773055104,25.93526454369963,66.21574508292808,310.03764484467894,342.2656738674234,1620.3851388956682,1078.5497670000725,11115.659477466055,520.8569942132989,88.55293707318054,78.985129132306,103.50050451291064,29.189710561577144,60.87682946870774,44.85642622298106,8.933064122571189,61.650841163365484,17.354510383010275,44.440728497997874,225.2296407641145,273.57496486523144,805.2500367630015,1485.573488021285,6901.670930112345,424.0503895505034,47.229360496712886,25.50521842752467,48.21240093089562
Sao Tome and Principe,216618.0231,0.015984869,0.001864959,0.01826097,0.003856102,10.0231574970822,3.183752797850462,5.610012767455963,22.88896892142135,14.163086818007717,3.2520773641353697,15.88949717590625,4.90861471794795,9.95356465056372,31.567061445861075,205.0282049063441,611.3934721444589,1052.6886403441545,2564.468636622773,59.718290052767344,7.973317608384175,11.014294868045726,35.26569300373763,27.951141338954837,59.5791852073965,43.82137929513917,8.665863863205944,57.39707250587144,16.779279289067755,42.82989090081052,217.45006828910476,272.0419574137951,776.6690251009072,1485.56349126958,6662.254190789133,412.76490427766976,44.070977925399205,21.103024531949483,46.018043081622515
