country,results,direct,perio_prev,Upper Perio Prevalence (%),Lower Perio Prevalence (%),decid_caries,Upper Deciduous,Lower Deciduous,perm_caries,Upper Permanent,Lower Permanent,edent,Upper Edentulism,Lower Edentulism,diab_prev,Upper Diabetes,Lower Diabetes,diab_death,Upper Diabetes Deaths,Lower Diabetes Deaths,smoking_agest,Upper Smoking,Lower Smoking,dentists,Upper Dentists,Lower Dentists,dent_personnel,Upper Dental Personnel,Lower Dental Personnel,gdp_usd,Upper GDP,Lower GDP,dent_exp,dent_exppc,adv_coverage,coverage
Comoros,,,0.093259588,0.126864842,0.067385752,0.08837318,0.110883183,0.067899972,0.299124875,0.356682073,0.254406993,0.015925662,0.019567398,0.012239011,0.034595848,0.037399731,0.032119564,0.032006774,0.038795003,0.023660746,0.110807379,0.120203811,0.102176847,0.739,1.12,0.469,0.831,1.232,0.543,1558,1316,1870,0.0003,0.3,Yes,25
Congo,,,0.08950839,0.122880321,0.063187518,0.092678753,0.115536177,0.072798234,0.288204359,0.353130385,0.229783751,0.02493056,0.030892055,0.019059263,0.038407161,0.041867321,0.035077937,0.031792262,0.037347389,0.027555295,0.300982704,0.325666952,0.277871078,1.213,1.883,0.77,1.931,2.788,1.307,2519,2233,2942,0.0047,1.03,,
Cook Islands,,,0.045787534,0.063664751,0.032233517,0.063653828,0.076758972,0.051688435,0.401979193,0.469144082,0.342416411,0.04393538,0.055332196,0.033544678,0.257963182,0.275234984,0.23825527,0.176395497,0.190547748,0.158993697,0.11083943,0.120573901,0.102257487,6.328,8.593,4.239,11.071,14.689,7.859,21306,20235,22365,NA,NA,,
Costa Rica,,,0.173400146,0.210940101,0.13785086,0.055301581,0.069015186,0.042072402,0.391270246,0.450423778,0.333911252,0.06266714,0.07639534,0.049873962,0.090017959,0.098090427,0.083388681,0.033698039,0.037520218,0.029547544,0.391240328,0.40999071,0.371895014,3.076,4.386,2.106,4.419,6.086,3.221,13217,12784,13616,0.1617,31.84,Yes,94
Côte d'Ivoire,,,0.137244415,0.16947755,0.106502012,0.10575571,0.132502654,0.079209937,0.280570964,0.340734334,0.225728178,0.017529065,0.021956437,0.013186411,0.032089454,0.034708099,0.029271114,0.018730338,0.022253112,0.015233672,0.062462503,0.06962516,0.056222514,0.293,0.438,0.185,0.363,0.53,0.242,2882,2773,2968,0.0066,0.25,Yes,49
Croatia,,,0.193569624,0.233731343,0.157354098,0.042978875,0.052119272,0.034944606,0.452250665,0.510357334,0.386735076,0.106926586,0.132287402,0.084197689,0.098060911,0.107865679,0.088974309,0.025029583,0.027887122,0.021746936,0.2352353,0.252670869,0.218533008,10.122,12.394,7.965,14.277,17.002,11.727,18882,17945,19967,0.1494,36.8,Yes,100
Cuba,,,0.194944433,0.238232129,0.154804302,0.041225685,0.050554839,0.032488339,0.403125341,0.459361801,0.346819566,0.093107681,0.115733959,0.073480574,0.09666144,0.105268441,0.088487215,0.012419966,0.013654705,0.011190129,0.329135784,0.346889108,0.309538699,20.879,28.083,14.814,34.388,45.256,25.126,11135,10107,12049,0.3044,26.85,Yes,100
Cyprus,,,0.125191106,0.165448863,0.091110708,0.033192332,0.043702297,0.0244172,0.418261173,0.478739684,0.355807885,0.067941635,0.084094007,0.05308812,0.09116749,0.099054844,0.084356992,0.056437576,0.064056316,0.049214306,0.340696617,0.355851462,0.324909211,8.127,10.415,6.167,11.742,14.343,9.417,29649,21515,35794,0.0126,14.41,No,99
Czechia,,,0.159577825,0.198669313,0.123563217,0.049723263,0.059612557,0.040455952,0.411499172,0.4667406,0.349982164,0.110493326,0.134768027,0.087808145,0.101917096,0.110618152,0.092781991,0.031732377,0.036364051,0.027273531,0.13110962,0.142490741,0.121271169,9.136,11.466,7.263,12.902,15.638,10.646,28860,28609,29123,0.8438,79.32,Yes,100
Democratic People's Republic of Korea,,,0.088389745,0.121509642,0.060653366,0.049768477,0.062863292,0.037929305,0.15573674,0.19761757,0.12202455,0.041796182,0.052490021,0.032242775,0.070279431,0.077278315,0.064355165,0.019005635,0.022218718,0.016355113,0.435506592,0.456492517,0.413258272,1.179,1.746,0.764,1.575,2.229,1.058,684,589,766,0.0895,3.5,,
