LocationHeader,Region,Superregion,iso3c,selected_Mean_total_billions,selected_SD_total_billions,selected_Mean_perio_billions,selected_SD_perio_billions,selected_Mean_replace_billions,selected_SD_replace_billions,selected_model,Dent_exp_usd,Dent_exppc_usd,GDP_per_capita_PPP_2021,Country,Level
    Luxembourg,Western Europe,High-income,LUX,0.1261520327428109,0.03292228422022147,0.04776581008427302,0.01534661649005245,0.02534534319480432,0.01489773150049318,high,0.212,345.35,136772.4438,Luxembourg,3
    Malta,Western Europe,High-income,MLT,0.00894952790507754,0.00564463364611048,0.00187526706163554,0.00173665427770922,0.00224537728838476,0.00260931007185295,mid,0.0444,91.64,56802.01025,Malta,3
    Monaco,Western Europe,High-income,MCO,0,0,0,0,0,0,high,NA,NA,NA,Monaco,3
    Netherlands,Western Europe,High-income,NLD,0.37705924590825907,0.2328997584015613,0.07763419521838609,0.07011857060015639,0.091272814644505,0.1038260649810167,mid,3.6785,213.48,68573.56488,Netherlands,3
    Norway,Western Europe,High-income,NOR,1.0748093627077455,0.29841342244777114,0.4665770877596551,0.15576893607359937,0.2536370090139861,0.1501729209471671,high,2.1691,404.99,88984.13867,Norway,3
    Portugal,Western Europe,High-income,PRT,0.15199141599832722,0.0981011874599288,0.03233081910660697,0.03116701866709316,0.0402246508143088,0.04939102243924208,mid,0.8695,84.7,38657.66772,Portugal,3
    San Marino,Western Europe,High-income,SMR,0.0038334609937339,0.00109292709054094,0.0015569768017256,5.94530481137413e-4,8.511857647714739e-4,5.294114758868726e-4,high,0.0075,222.24,64745.13168,San Marino,3
    Spain,Western Europe,High-income,ESP,1.31966935916381,0.35107892171292837,0.28645522663633277,0.07833451415506769,0.19481271608445724,0.10850825913986806,high,8.3063,178.03,44251.66582,Spain,3
    Sweden,Western Europe,High-income,SWE,2.2425548938056297,0.5319247078519985,0.7998261719414118,0.16880371265373004,0.469594112712713,0.2399656239960226,high,3.3758,327.04,62731.70062,Sweden,3
    Switzerland,Western Europe,High-income,CHE,1.4889278518376177,0.3652583836394906,0.6432720232166713,0.15552509246152393,0.24150544327139753,0.1318968187582937,high,4.2189,493.73,81001.41112,Switzerland,3
    United Kingdom of Great Britain and Northern Ireland,Western Europe,High-income,GBR,3.787457039732923,1.2477986681554902,1.0478429139955918,0.4223782457359429,1.7615603920572236,0.9223461283060695,high,9.5769,143.22,51004.42717,United Kingdom of Great Britain and Northern Ireland,3
Latin America and Caribbean,NA,Latin America and Caribbean,NA,4.26835912890982,1.7591556532062205,0.9382370499203249,0.5997680809292857,0.9282758730555486,0.7760322903239046,NA,NA,NA,NA,NA,1
  Andean Latin America,Andean Latin America,Latin America and Caribbean,NA,0.03247569156428039,0.04750650040067452,0.00928914377800733,0.02378894374178986,0.00301623336561519,0.0083324219735602,NA,NA,NA,NA,NA,2
    Bolivia,Andean Latin America,Latin America and Caribbean,BOL,0.00465401533723104,0.01307481255536195,0.00127579605305456,0.00702562278758191,4.165476587812613e-4,0.00201589787818968,low,0.0482,4.17,9454.198147,Bolivia,3
    Ecuador,Andean Latin America,Latin America and Caribbean,ECU,0.0088337301873172,0.02372199923197569,0.00235751571083824,0.00950331112381996,8.113827386714187e-4,0.00324140721320344,low,0.1257,7.28,13507.44456,Ecuador,3
    Peru,Andean Latin America,Latin America and Caribbean,PER,0.01898794603973215,0.03902798495182121,0.00565583201411453,0.02064561809393297,0.00178830296816251,0.00740666530689567,low,0.2678,8.24,15280.55121,Peru,3
  Caribbean,Caribbean,Latin America and Caribbean,NA,0.12016557480031981,0.03628956917104366,0.03820726520372989,0.016573599726351126,0.03475556370564615,0.018709040543873106,NA,NA,NA,NA,NA,2
    Antigua and Barbuda,Caribbean,Latin America and Caribbean,ATG,0.00148334146730697,0.00110697847814439,3.751827290066239e-4,3.94140614902065e-4,4.825488145495728e-4,6.318767128872488e-4,mid,0.0048,51.88,25745.49581,Antigua and Barbuda,3
    Bahamas,Caribbean,Latin America and Caribbean,BHS,0.03675008050532769,0.01282501136140429,0.01643039655279245,0.00816208670044104,0.00915023770564291,0.00700791761335434,high,0.0329,75.3,31064.68222,Bahamas,3
    Barbados,Caribbean,Latin America and Caribbean,BRB,0.00344670751247355,0.00297382563503101,8.822909190131913e-4,0.00107355194908815,0.00121691854512011,0.00189152384055371,mid,0.0152,52.8,15683.88471,Barbados,3
    Belize,Caribbean,Latin America and Caribbean,BLZ,0.00415109971962419,0.00351598907207864,9.245091540257606e-4,0.00125488512418158,0.00133320554226796,0.00215443813736637,mid,0.0057,14.08,11677.46101,Belize,3
    Cuba,Caribbean,Latin America and Caribbean,CUB,0,0,0,0,0,0,high,0.3044,26.85,NA,Cuba,3
    Dominica,Caribbean,Latin America and Caribbean,DMA,7.694370290211766e-4,6.045667508354435e-4,1.899410455119828e-4,2.3269850231153488e-4,2.560671272181117e-4,3.568682482026265e-4,mid,0.0019,26.92,15808.97435,Dominica,3
    Dominican Republic,Caribbean,Latin America and Caribbean,DOM,0.00767147674824029,0.01597446382582943,0.00200754931894443,0.00814319600854668,7.331734929844246e-4,0.0030725384796446,low,0.0823,7.94,22053.45899,Dominican Republic,3
    Grenada,Caribbean,Latin America and Caribbean,GRD,0.00118435493180163,9.437315649979204e-4,2.9066119261139195e-4,3.692684670263311e-4,3.98515013761162e-4,5.705332747261056e-4,mid,0.0035,32.04,15298.12311,Grenada,3
    Guyana,Caribbean,Latin America and Caribbean,GUY,5.733424858549564e-4,0.00123795708347056,1.659353925786003e-4,7.318856625938647e-4,5.120801587538033e-5,2.242966045249031e-4,low,0.0113,14.38,22865.9271,Guyana,3
    Haiti,Caribbean,Latin America and Caribbean,HTI,0.00197207151373508,0.01057609424205276,6.38971262568412e-4,0.00519019818937701,2.202939840398275e-4,0.00156279950934978,low,0.0263,2.34,3134.950149,Haiti,3
    Jamaica,Caribbean,Latin America and Caribbean,JAM,0.02189773303226601,0.01932067817515154,0.00534708312952982,0.00794336584791878,0.00809953190841822,0.01259425172142774,mid,0.0449,15.62,9577.164211,Jamaica,3
    Saint Kitts and Nevis,Caribbean,Latin America and Caribbean,KNA,0.00404297842578259,0.00147363318495779,0.00184717067392219,9.979405960561728e-4,0.00104559730719085,7.936176451472426e-4,high,0.003,56.98,26896.61771,Saint Kitts and Nevis,3
    Saint Lucia,Caribbean,Latin America and Caribbean,LCA,0.00238602797846974,0.00190353212488493,5.917532893782166e-4,6.835976269574564e-4,8.199778982982811e-4,0.0012015857513323,mid,0.0054,29.98,19101.1653,Saint Lucia,3
    Saint Vincent and the Grenadines,Caribbean,Latin America and Caribbean,VCT,0.00119764639547308,9.489956991818124e-4,2.996104855860737e-4,3.5506137493051496e-4,3.922284438122724e-4,5.750263997375852e-4,mid,0.0026,23.29,16200.89946,Saint Vincent and the Grenadines,3
    Suriname,Caribbean,Latin America and Caribbean,SUR,0.00731594146386748,0.00562479745349418,0.00173067989219833,0.00197152315355679,0.00230409270184343,0.00331259003004101,mid,0.0095,15.9,18458.235,Suriname,3
    Trinidad and Tobago,Caribbean,Latin America and Caribbean,TTO,0.02532333559107538,0.01867008808739853,0.00648553016606242,0.00652937700964191,0.00825196720462364,0.01038844673511618,mid,0.0737,53.4,30424.66489,Trinidad and Tobago,3
  Central Latin America,Central Latin America,Latin America and Caribbean,NA,2.043810982179754,1.3232195659430404,0.49328772861921744,0.50007016149585,0.6310228987343253,0.7295829384178651,NA,NA,NA,NA,NA,2
    Colombia,Central Latin America,Latin America and Caribbean,COL,0.03499207820188737,0.0833558844461964,0.01085028130155235,0.04357922248753859,0.00364928040298993,0.02011685712611939,low,0.7051,14,17383.09017,Colombia,3
    Costa Rica,Central Latin America,Latin America and Caribbean,CRI,0.0748731078426621,0.0563454020618243,0.01860794395985197,0.02031937279241054,0.02404124483129797,0.0313769409705706,mid,0.1617,31.84,23852.9253,Costa Rica,3
    El Salvador,Central Latin America,Latin America and Caribbean,SLV,0.00255271845804731,0.0063016626691416,8.041517544263646e-4,0.00355932820945701,2.2913012253455425e-4,0.00117110571522889,low,0.0628,9.37,10809.7134,El Salvador,3
    Guatemala,Central Latin America,Latin America and Caribbean,GTM,0.00851904922025432,0.02023802926654993,0.00254333314468371,0.01127001487651866,7.642551272797547e-4,0.00357005078958177,low,0.1624,9.22,11825.14092,Guatemala,3
    Honduras,Central Latin America,Latin America and Caribbean,HND,0.00316382639188791,0.00979876266045462,9.053743120440376e-4,0.00498569981901753,3.059951906364184e-4,0.0015684485213777,low,0.052,5.42,6202.980788,Honduras,3
    Mexico,Central Latin America,Latin America and Caribbean,MEX,1.839226221559343,1.318024577397944,0.44065025001447594,0.4972334844491166,0.5787856548488256,0.7280539807853912,mid,2.103,16.7,20782.58774,Mexico,3
    Nicaragua,Central Latin America,Latin America and Caribbean,NIC,0.00221776555967138,0.00627143705406008,6.694136083231988e-4,0.00369680631293906,2.2890717042409e-4,0.00124286481266415,low,0.0314,4.81,7119.169234,Nicaragua,3
    Panama,Central Latin America,Latin America and Caribbean,PAN,0.0782662149460007,0.05489617300645362,0.01825698052385987,0.01840644413133745,0.02301843104033697,0.02865908639062097,mid,0.1354,32.1,30932.76278,Panama,3
    Venezuela,Central Latin America,Latin America and Caribbean,VEN,0,0,0,0,0,0,high,0.49370000000000003,17.93,NA,Venezuela,3
  Tropical Latin America,Tropical Latin America,Latin America and Caribbean,NA,2.0719068803654657,1.1576462292522605,0.39745291231937013,0.3298651033845097,0.25948117724996195,0.263657721565102,NA,NA,NA,NA,NA,2
    Brazil,Tropical Latin America,Latin America and Caribbean,BRA,2.067611642934364,1.1575994106171117,0.3962921152329736,0.3298312523065522,0.2590895396462326,0.2636529410284803,mid,3.7128,17.68,18075.706,Brazil,3
    Paraguay,Tropical Latin America,Latin America and Caribbean,PRY,0.00429523743110197,0.01041137074994365,0.00116079708639656,0.00472561453831767,3.916376037293187e-4,0.00158771153977508,low,0.0513,7.18,15406.16706,Paraguay,3
North Africa and Middle East,NA,North Africa and Middle East,NA,1.8813842366668707,0.7657975177139359,0.457367866611398,0.30483875667120197,0.5326332643646536,0.44052195525928467,NA,NA,NA,NA,NA,1
  North Africa and Middle East,North Africa and Middle East,North Africa and Middle East,NA,1.8813842366668707,0.7657975177139359,0.457367866611398,0.30483875667120197,0.5326332643646536,0.44052195525928467,NA,NA,NA,NA,NA,2
    Afghanistan,North Africa and Middle East,North Africa and Middle East,AFG,0.00529677430922907,0.03233220685479807,0.00129458196989624,0.00876147026175663,3.8238240188194755e-4,0.00283256074837196,low,0.0167,0.46,2144.16657,Afghanistan,3
    Algeria,North Africa and Middle East,North Africa and Middle East,DZA,0.02381713129085849,0.05602463760354682,0.00668105332203204,0.02709116178126278,0.00223899303278593,0.01024224813251072,low,0.3237,7.46,14496.86547,Algeria,3
    Bahrain,North Africa and Middle East,North Africa and Middle East,BHR,0.00266127902018676,0.00478270949038319,7.196266132969599e-4,0.00217705605076204,2.6236658873509105e-4,9.015728079148198e-4,low,0.0625,41.36,54954.67579,Bahrain,3
    Egypt,North Africa and Middle East,North Africa and Middle East,EGY,0.05810495918246664,0.12415650942440036,0.01293375227234856,0.05900339920427321,0.00431937678305636,0.01877792875131114,low,0.3293,3.32,15579.01609,Egypt,3
    Iran,North Africa and Middle East,North Africa and Middle East,IRN,0.8246523555926379,0.6750587128709548,0.1925608645741878,0.26503208470533185,0.2795080682726224,0.4175533386017587,mid,3.5071,42.12,12731.75358,Iran,3
    Iraq,North Africa and Middle East,North Africa and Middle East,IRQ,0.02599964015765168,0.06769669383289136,0.00762405083949621,0.03623469990344454,0.00218723855493646,0.01005661188110613,low,1e-4,0.01,12731.75358,Iraq,3
    Jordan,North Africa and Middle East,North Africa and Middle East,JOR,0.00506735980225811,0.01308491234871105,0.00134910166424949,0.0064815720313923,4.0833734828945006e-4,0.00203562056221282,low,0.0747,7.42,9182.496161,Jordan,3
    Kuwait,North Africa and Middle East,North Africa and Middle East,KWT,0.12343399607643546,0.08558537566032065,0.0309919928596516,0.02861723771154019,0.03682653516720244,0.04498646043870911,mid,0.2182,46.41,50651.95758,Kuwait,3
    Lebanon,North Africa and Middle East,North Africa and Middle East,LBN,0.08572587540501378,0.07276548040647905,0.01991235649084452,0.0277041445032211,0.02854741697361725,0.04258746498021118,mid,0.1049,17.29,11599.77551,Lebanon,3
    Libya,North Africa and Middle East,North Africa and Middle East,LBY,0.00383393454059325,0.00916815802490509,0.00103845655457434,0.00458976031366627,3.717115721148959e-4,0.00166031818441037,low,0.0615,9.34,12641.50977,Libya,3
    Morocco,North Africa and Middle East,North Africa and Middle East,MAR,0.01515154247741462,0.03974878602785938,0.00512576564468702,0.02305003970059746,0.00151011667053578,0.00937467944736401,low,0.0821,2.31,8623.265625,Morocco,3
    Oman,North Africa and Middle East,North Africa and Middle East,OMN,0.11736951248517176,0.07854255000076012,0.02651126247475179,0.0258080752836569,0.03294899752599771,0.04014121891233001,mid,0.1327,30.82,38719.45877,Oman,3
